epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1842.52,0.75741,0.39837,1.01216,0.98182,0.98393,0.9898,0.7707,0.95025,0.38256,1.11325,0.000371313,0.000371313,0.000371313
43,1884.59,0.74677,0.39254,1.00937,0.98869,0.97524,0.99061,0.76938,0.96634,0.3899,1.11283,0.000365125,0.000365125,0.000365125
44,1926.78,0.74903,0.39764,1.01067,0.97982,0.97897,0.98769,0.76936,0.95554,0.39846,1.09748,0.000358938,0.000358938,0.000358938
45,1969.47,0.74318,0.38807,1.00809,0.98251,0.9802,0.99226,0.77439,0.94507,0.35265,1.10692,0.00035275,0.00035275,0.00035275
46,2011.45,0.73186,0.38742,1.00414,0.98575,0.97295,0.98815,0.7703,0.9519,0.43222,1.11129,0.000346563,0.000346563,0.000346563
47,2053.46,0.72985,0.38609,1.00021,0.9783,0.97557,0.98941,0.77259,0.95462,0.39761,1.11187,0.000340375,0.000340375,0.000340375
48,2096.32,0.7222,0.38186,0.9995,0.98301,0.98015,0.98857,0.77567,0.95467,0.40764,1.10861,0.000334188,0.000334188,0.000334188
49,2138.34,0.71948,0.37839,0.99628,0.98949,0.9789,0.98816,0.76887,0.97963,0.40452,1.12971,0.000328,0.000328,0.000328
50,2180.37,0.70657,0.3721,0.98667,0.97533,0.97532,0.98978,0.7711,0.95865,0.39362,1.12148,0.000321812,0.000321812,0.000321812
51,2223.34,0.71,0.37339,0.99611,0.97918,0.97741,0.99307,0.7734,0.96405,0.39116,1.11051,0.000315625,0.000315625,0.000315625
52,2265.45,0.70526,0.37333,0.98887,0.98361,0.97437,0.99125,0.7738,0.94707,0.38213,1.12004,0.000309437,0.000309437,0.000309437
53,2307.75,0.69786,0.3737,0.99433,0.9857,0.96609,0.98845,0.77392,0.9627,0.40931,1.12065,0.00030325,0.00030325,0.00030325
54,2349.98,0.6912,0.35939,0.98575,0.98627,0.97297,0.98968,0.77185,0.96192,0.40701,1.12623,0.000297063,0.000297063,0.000297063
55,2392.57,0.68158,0.35979,0.98275,0.98656,0.97914,0.98956,0.77187,0.97208,0.40906,1.13044,0.000290875,0.000290875,0.000290875
56,2434.78,0.68577,0.36327,0.98041,0.98362,0.97908,0.99001,0.7732,0.96441,0.4043,1.11563,0.000284688,0.000284688,0.000284688
57,2476.84,0.67151,0.36121,0.97617,0.98086,0.97478,0.9876,0.76803,0.97416,0.3921,1.14232,0.0002785,0.0002785,0.0002785
58,2519.77,0.65833,0.35395,0.97282,0.98771,0.97626,0.99045,0.77203,0.94988,0.3835,1.13058,0.000272313,0.000272313,0.000272313
59,2561.53,0.65609,0.34982,0.96708,0.98724,0.96914,0.98851,0.77464,0.9502,0.40467,1.12517,0.000266125,0.000266125,0.000266125
60,2603.5,0.64883,0.35065,0.96634,0.97782,0.9764,0.98848,0.77404,0.97382,0.40631,1.1284,0.000259938,0.000259938,0.000259938
61,2646.26,0.64372,0.33973,0.96382,0.98397,0.97473,0.99052,0.78157,0.95146,0.37773,1.13081,0.00025375,0.00025375,0.00025375
62,2694.25,0.64678,0.34159,0.96185,0.97542,0.97359,0.98917,0.7733,0.95544,0.40337,1.11663,0.000247563,0.000247563,0.000247563
