epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,611.857,0.77833,0.50363,1.09256,0.9622,0.98423,0.98251,0.82658,0.7082,0.39637,1.09589,0.000424187,0.000424187,0.000424187
43,626.356,0.76435,0.51722,1.09415,0.9608,0.98348,0.98065,0.80202,0.76229,0.40714,1.10734,0.000417119,0.000417119,0.000417119
44,640.621,0.73526,0.48618,1.06457,0.95442,0.98529,0.98317,0.82752,0.69541,0.38277,1.06764,0.00041005,0.00041005,0.00041005
45,655.602,0.7423,0.51163,1.07811,0.94844,0.98162,0.982,0.80718,0.74699,0.41221,1.11109,0.000402982,0.000402982,0.000402982
46,669.876,0.74142,0.48698,1.08203,0.96231,0.98745,0.98095,0.82619,0.67906,0.36672,1.07793,0.000395913,0.000395913,0.000395913
47,684.198,0.74198,0.49182,1.08858,0.9573,0.99091,0.98135,0.8111,0.72324,0.39975,1.12131,0.000388844,0.000388844,0.000388844
48,698.507,0.72312,0.48554,1.07074,0.96275,0.96804,0.98096,0.82752,0.71411,0.40588,1.11485,0.000381776,0.000381776,0.000381776
49,712.976,0.72968,0.49151,1.07691,0.96093,0.98506,0.98176,0.84557,0.67692,0.36748,1.06269,0.000374707,0.000374707,0.000374707
50,727.307,0.70528,0.46251,1.06403,0.96339,0.97907,0.98397,0.83939,0.69678,0.392,1.06354,0.000367639,0.000367639,0.000367639
51,741.646,0.70775,0.48736,1.0618,0.95943,0.9794,0.98282,0.81633,0.7347,0.40646,1.09225,0.00036057,0.00036057,0.00036057
52,755.928,0.7058,0.4824,1.06398,0.9576,0.97809,0.97915,0.82608,0.69627,0.38181,1.09628,0.000353501,0.000353501,0.000353501
53,770.395,0.68104,0.45931,1.05426,0.94782,0.97631,0.98044,0.82902,0.68602,0.39285,1.08592,0.000346433,0.000346433,0.000346433
54,785.227,0.683,0.45188,1.04462,0.96322,0.98758,0.98476,0.81945,0.72968,0.41036,1.10304,0.000339364,0.000339364,0.000339364
55,799.665,0.69164,0.45467,1.04295,0.95876,0.98602,0.98039,0.83094,0.71099,0.37349,1.10399,0.000332296,0.000332296,0.000332296
56,813.88,0.67069,0.45348,1.04395,0.95193,0.99091,0.9825,0.83398,0.69325,0.37363,1.08301,0.000325227,0.000325227,0.000325227
57,828.107,0.65059,0.44364,1.03589,0.96074,0.96572,0.98412,0.83448,0.68755,0.40506,1.08258,0.000318158,0.000318158,0.000318158
58,842.265,0.65807,0.45105,1.03945,0.95811,0.979,0.98151,0.81509,0.73465,0.39336,1.10474,0.00031109,0.00031109,0.00031109
59,856.533,0.71026,0.47638,1.07754,0.96026,0.98496,0.98352,0.83573,0.69979,0.37812,1.09657,0.000304021,0.000304021,0.000304021
