epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3003.56,0.92982,0.50616,1.09505,0.97024,0.97418,0.98449,0.76201,0.97549,0.38686,1.10959,0.000349331,0.000349331,0.000349331
43,3074.43,0.92699,0.50426,1.09643,0.95847,0.97108,0.98417,0.75961,0.96994,0.41133,1.10569,0.00034351,0.00034351,0.00034351
44,3146.38,0.92293,0.48928,1.09299,0.97293,0.96473,0.98519,0.75961,0.97579,0.38763,1.10565,0.000337688,0.000337688,0.000337688
45,3217.86,0.91183,0.48982,1.08922,0.96713,0.97335,0.98607,0.75832,0.97901,0.38257,1.10857,0.000331867,0.000331867,0.000331867
46,3290.64,0.91172,0.49956,1.09025,0.95578,0.97521,0.98255,0.75775,0.99375,0.38863,1.12528,0.000326046,0.000326046,0.000326046
47,3362.25,0.90359,0.48669,1.08813,0.97482,0.97077,0.9861,0.75968,0.97763,0.37751,1.11098,0.000320225,0.000320225,0.000320225
48,3434.16,0.89038,0.47629,1.07233,0.96233,0.97699,0.98651,0.76221,0.97927,0.38446,1.11266,0.000314404,0.000314404,0.000314404
49,3504.05,0.89483,0.47545,1.07561,0.95947,0.97077,0.98516,0.76054,0.97545,0.38547,1.10853,0.000308582,0.000308582,0.000308582
50,3575.92,0.88567,0.47312,1.06871,0.96082,0.97181,0.98687,0.76578,0.95791,0.38536,1.10018,0.000302761,0.000302761,0.000302761
51,3646.24,0.8752,0.4703,1.07134,0.97378,0.96524,0.98565,0.76777,0.95009,0.37464,1.09724,0.00029694,0.00029694,0.00029694
52,3717.1,0.87188,0.46702,1.06602,0.96254,0.97697,0.98801,0.76132,0.98545,0.37978,1.12111,0.000291119,0.000291119,0.000291119
53,3787.95,0.87433,0.47054,1.07105,0.96075,0.97718,0.98536,0.76505,0.97291,0.38384,1.11574,0.000285298,0.000285298,0.000285298
54,3859.37,0.87175,0.4664,1.06499,0.96088,0.96946,0.98313,0.76596,0.9693,0.38223,1.11462,0.000279476,0.000279476,0.000279476
55,3930.26,0.85574,0.45753,1.05974,0.97135,0.96966,0.98661,0.76861,0.96926,0.38043,1.10692,0.000273655,0.000273655,0.000273655
56,4002.24,0.86326,0.46302,1.0607,0.96477,0.96508,0.98593,0.76749,0.9757,0.37343,1.11962,0.000267834,0.000267834,0.000267834
57,4072.25,0.85507,0.45912,1.05733,0.96854,0.96755,0.98383,0.76133,0.97366,0.37994,1.11454,0.000262013,0.000262013,0.000262013
58,4142.59,0.84548,0.44791,1.05407,0.97334,0.96543,0.98218,0.76545,0.97961,0.37447,1.12375,0.000256192,0.000256192,0.000256192
59,4213.41,0.83339,0.44126,1.04772,0.96543,0.9775,0.98522,0.76416,0.96722,0.36838,1.11146,0.00025037,0.00025037,0.00025037
60,4284.13,0.83283,0.44278,1.04499,0.96687,0.97199,0.98412,0.76451,0.98334,0.37784,1.12653,0.000244549,0.000244549,0.000244549
61,4354.9,0.82355,0.43448,1.04355,0.97008,0.97517,0.98593,0.76197,0.97036,0.36414,1.11357,0.000238728,0.000238728,0.000238728
62,4425.68,0.8196,0.43322,1.04059,0.96647,0.96891,0.9864,0.76992,0.97461,0.36873,1.11791,0.000232907,0.000232907,0.000232907
63,4497.17,0.82828,0.44125,1.04663,0.97542,0.9733,0.98659,0.76384,0.96871,0.36635,1.11972,0.000227086,0.000227086,0.000227086
64,4567.51,0.8167,0.43101,1.03523,0.97949,0.96752,0.98474,0.76558,0.96401,0.36639,1.11714,0.000221264,0.000221264,0.000221264
